"unique_storm_number","days_since_planting","days_since_fertilizer","days_since_cultivation","days_since_disturbance"
1,30,122,122,10
3,30,151,151,10
4,30,157,157,10
5,30,158,158,10
6,30,163,163,10
9,30,201,201,10
12,30,214,1,1
13,30,214,1,1
16,30,218,0,0
22,NA,42,43,10
27,NA,NA,NA,NA
30,NA,NA,NA,NA
32,NA,NA,NA,NA
37,NA,NA,NA,NA
38,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
44,NA,NA,NA,NA
47,NA,NA,NA,NA
48,NA,NA,NA,NA
50,NA,NA,NA,NA
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
56,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,NA,NA,NA,NA
63,NA,NA,NA,NA
65,NA,NA,NA,NA
68,NA,NA,NA,NA
73,NA,NA,NA,NA
77,NA,NA,NA,NA
79,NA,NA,NA,NA
81,NA,NA,NA,NA
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,NA,NA,NA,NA
89,NA,NA,NA,NA
90,NA,NA,NA,NA
92,NA,NA,NA,NA
93,NA,NA,NA,NA
94,NA,NA,NA,NA
95,NA,NA,NA,NA
98,NA,NA,NA,NA
101,NA,NA,NA,NA
102,NA,NA,NA,NA
103,NA,NA,NA,NA
104,NA,NA,NA,NA
105,NA,NA,NA,NA
108,NA,NA,NA,NA
111,NA,NA,NA,NA
112,NA,NA,NA,NA
114,NA,NA,NA,NA
115,NA,NA,NA,NA
117,NA,NA,NA,NA
118,NA,NA,NA,NA
131,NA,NA,NA,NA
132,NA,NA,NA,NA
133,NA,NA,NA,NA
134,NA,NA,NA,NA
135,NA,NA,NA,NA
136,NA,NA,NA,NA
138,NA,NA,NA,NA
139,NA,NA,NA,NA
141,NA,NA,NA,NA
142,NA,NA,NA,NA
146,NA,NA,NA,NA
147,NA,NA,NA,NA
150,NA,NA,NA,NA
151,NA,NA,NA,NA
153,NA,NA,NA,NA
154,NA,NA,NA,NA
156,NA,NA,NA,NA
157,NA,NA,NA,NA
160,NA,NA,NA,NA
161,NA,NA,NA,NA
162,NA,NA,NA,NA
163,NA,NA,NA,NA
165,NA,NA,NA,NA
166,NA,NA,NA,NA
167,NA,NA,NA,NA
168,NA,NA,NA,NA
169,NA,NA,NA,NA
170,NA,NA,NA,NA
177,NA,NA,NA,NA
178,NA,NA,NA,NA
181,NA,NA,NA,NA
185,NA,NA,NA,NA
191,NA,NA,NA,NA
192,NA,NA,NA,NA
193,NA,NA,NA,NA
194,NA,NA,NA,NA
197,NA,NA,NA,NA
200,NA,NA,NA,NA
201,NA,NA,NA,NA
202,NA,NA,NA,NA
203,NA,NA,NA,NA
206,NA,NA,NA,NA
207,NA,NA,NA,NA
208,NA,NA,NA,NA
209,NA,NA,NA,NA
210,NA,NA,NA,NA
213,NA,NA,NA,NA
214,NA,NA,NA,NA
215,NA,NA,NA,NA
216,NA,NA,NA,NA
218,NA,NA,NA,NA
219,NA,NA,NA,NA
220,NA,NA,NA,NA
221,NA,NA,NA,NA
222,NA,NA,NA,NA
223,NA,NA,NA,NA
224,NA,NA,NA,NA
225,NA,NA,NA,NA
226,NA,NA,NA,NA
227,NA,NA,NA,NA
228,NA,NA,NA,NA
229,NA,NA,NA,NA
230,NA,NA,NA,NA
231,NA,NA,NA,NA
232,NA,NA,NA,NA
233,NA,NA,NA,NA
234,NA,NA,NA,NA
235,NA,NA,NA,NA
236,NA,NA,NA,NA
237,NA,NA,NA,NA
239,NA,NA,NA,NA
240,NA,NA,NA,NA
241,NA,NA,NA,NA
242,NA,NA,NA,NA
244,NA,NA,NA,NA
